ID,MatchID,EventID,Date,Characters,Matchup
1071,0,6,2012-01-28T00:00:00,,
1072,1,6,2012-01-28T00:00:00,,
1089,2,6,2012-01-28T00:00:00,,
1040,3,6,2012-01-28T00:00:00,,
1063,4,6,2012-01-28T00:00:00,,
1073,5,6,2012-01-28T00:00:00,,
2753,6,6,2012-01-28T00:00:00,,
1286,7,6,2012-01-28T00:00:00,,
1066,8,6,2012-01-28T00:00:00,,
1090,9,6,2012-01-28T00:00:00,,
1041,10,6,2012-01-28T00:00:00,,
1076,11,6,2012-01-28T00:00:00,,
1226,12,6,2012-01-28T00:00:00,,
1721,14,6,2012-01-28T00:00:00,,
1067,17,6,2012-01-28T00:00:00,,
1071,18,6,2012-01-28T00:00:00,,
1089,19,6,2012-01-28T00:00:00,,
1072,20,6,2012-01-28T00:00:00,,
1063,21,6,2012-01-28T00:00:00,,
2753,22,6,2012-01-28T00:00:00,,
1040,23,6,2012-01-28T00:00:00,,
1073,24,6,2012-01-28T00:00:00,,
1226,25,6,2012-01-28T00:00:00,,
1066,26,6,2012-01-28T00:00:00,,
1076,27,6,2012-01-28T00:00:00,,
1286,28,6,2012-01-28T00:00:00,,
1721,29,6,2012-01-28T00:00:00,,
1041,30,6,2012-01-28T00:00:00,,
1090,31,6,2012-01-28T00:00:00,,
1120,32,6,2012-01-28T00:00:00,,
1067,35,6,2012-01-28T00:00:00,,
1068,82,15,2012-07-07T00:00:00,,
1112,83,15,2012-07-07T00:00:00,,
1072,84,15,2012-07-07T00:00:00,,
1312,85,15,2012-07-07T00:00:00,,
1089,86,15,2012-07-07T00:00:00,,
5699,87,15,2012-07-07T00:00:00,,
1156,88,15,2012-07-07T00:00:00,,
1064,89,15,2012-07-07T00:00:00,,
1040,90,15,2012-07-07T00:00:00,,
1158,91,15,2012-07-07T00:00:00,,
1041,92,15,2012-07-07T00:00:00,,
1066,93,15,2012-07-07T00:00:00,,
1063,94,15,2012-07-07T00:00:00,,
1291,95,15,2012-07-07T00:00:00,,
1076,96,15,2012-07-07T00:00:00,,
1112,97,15,2012-07-07T00:00:00,,
1072,98,15,2012-07-07T00:00:00,,
1068,99,15,2012-07-07T00:00:00,,
1089,100,15,2012-07-07T00:00:00,,
1156,101,15,2012-07-07T00:00:00,,
1312,102,15,2012-07-07T00:00:00,,
5699,103,15,2012-07-07T00:00:00,,
1064,104,15,2012-07-07T00:00:00,,
1066,105,15,2012-07-07T00:00:00,,
1040,106,15,2012-07-07T00:00:00,,
1063,107,15,2012-07-07T00:00:00,,
1291,108,15,2012-07-07T00:00:00,,
1158,109,15,2012-07-07T00:00:00,,
1041,110,15,2012-07-07T00:00:00,,
1076,111,15,2012-07-07T00:00:00,,
1068,112,19,2012-09-30T00:00:00,,
1048,113,19,2012-09-30T00:00:00,Marth,Marth;CaptainFalcon
1156,114,19,2012-09-30T00:00:00,Peach,Peach;CaptainFalcon
1071,115,19,2012-09-30T00:00:00,Falco,Falco;Peach
1112,116,19,2012-09-30T00:00:00,,
1102,117,19,2012-09-30T00:00:00,Jigglypuff,Jigglypuff;Falco
1072,118,19,2012-09-30T00:00:00,,
1155,119,19,2012-09-30T00:00:00,,
1049,120,19,2012-09-30T00:00:00,,
1150,121,19,2012-09-30T00:00:00,,
1291,122,19,2012-09-30T00:00:00,,
1142,123,19,2012-09-30T00:00:00,,
1073,124,19,2012-09-30T00:00:00,,
5699,125,19,2012-09-30T00:00:00,,
1089,126,19,2012-09-30T00:00:00,,
1090,127,19,2012-09-30T00:00:00,,
1158,128,19,2012-09-30T00:00:00,,
1064,129,19,2012-09-30T00:00:00,,
1289,130,19,2012-09-30T00:00:00,,
1286,131,19,2012-09-30T00:00:00,,
1041,132,19,2012-09-30T00:00:00,,
1063,133,19,2012-09-30T00:00:00,,
1048,135,19,2012-09-30T00:00:00,Marth,Marth;Falco
1156,136,19,2012-09-30T00:00:00,Peach,Peach;Fox
1068,137,19,2012-09-30T00:00:00,Marth,Marth;Marth
1150,138,19,2012-09-30T00:00:00,,
1112,139,19,2012-09-30T00:00:00,Sheik,Sheik;Peach
