MatchID,EventID,Date,WinnerID,LoserID,WinnerCharacters,LoserCharacters,EloWinnerOldScore,EloLoserOldScore,EloWinnerNewScore,EloLoserNewScore,EloMovement
0,6,2012-01-28T00:00:00,1068,1071,[],[],1205,1160,1250,1115,45
1,6,2012-01-28T00:00:00,1071,1072,[],[],1104,1160,1160,1104,56
2,6,2012-01-28T00:00:00,1072,1089,[],[],1110,1110,1160,1060,50
3,6,2012-01-28T00:00:00,1089,1040,[],[],1051,1131,1110,1072,59
4,6,2012-01-28T00:00:00,1072,1063,[],[],1055,1102,1110,1047,55
5,6,2012-01-28T00:00:00,1040,1073,[],[],1085,1051,1131,1005,46
6,6,2012-01-28T00:00:00,1063,2753,[],[],1052,1056,1102,1006,50
7,6,2012-01-28T00:00:00,1040,1286,[],[],1039,1006,1085,960,46
8,6,2012-01-28T00:00:00,1073,1066,[],[],1001,1005,1051,955,50
9,6,2012-01-28T00:00:00,1063,1090,[],[],1001,1006,1052,955,51
10,6,2012-01-28T00:00:00,2753,1041,[],[],1000,1049,1056,993,56
11,6,2012-01-28T00:00:00,1286,1076,[],[],950,1006,1006,950,56
12,6,2012-01-28T00:00:00,1066,1226,[],[Jigglypuff],950,994,1005,939,55
13,6,2012-01-28T00:00:00,1090,,[],[],950,1000,1006,944,56
14,6,2012-01-28T00:00:00,1041,1721,[],[],1005,950,1049,906,44
15,6,2012-01-28T00:00:00,1076,,[],[],950,1000,1006,944,56
16,6,2012-01-28T00:00:00,,1120,[],[],1000,994,1049,945,49
17,6,2012-01-28T00:00:00,1041,1067,[],[],956,950,1005,901,49
18,6,2012-01-28T00:00:00,1068,1071,[],[],1155,1154,1205,1104,50
19,6,2012-01-28T00:00:00,1071,1089,[],[],1105,1100,1154,1051,49
20,6,2012-01-28T00:00:00,1068,1072,[],[],1105,1105,1155,1055,50
21,6,2012-01-28T00:00:00,1071,1063,[],[],1056,1050,1105,1001,49
22,6,2012-01-28T00:00:00,1089,2753,[],[],1050,1050,1100,1000,50
23,6,2012-01-28T00:00:00,1072,1040,[],[],1050,1094,1105,1039,55
24,6,2012-01-28T00:00:00,1068,1073,[],[],1056,1050,1105,1001,49
25,6,2012-01-28T00:00:00,1071,1226,[],[Jigglypuff],1000,1050,1056,994,56
26,6,2012-01-28T00:00:00,1063,1066,[],[],1000,1000,1050,950,50
27,6,2012-01-28T00:00:00,2753,1076,[],[],1000,1000,1050,950,50
28,6,2012-01-28T00:00:00,1089,1286,[],[],1000,1000,1050,950,50
29,6,2012-01-28T00:00:00,1072,1721,[],[],1000,1000,1050,950,50
30,6,2012-01-28T00:00:00,1040,1041,[],[],1050,1000,1094,956,44
31,6,2012-01-28T00:00:00,1073,1090,[],[],1000,1000,1050,950,50
32,6,2012-01-28T00:00:00,1068,1120,[],[],1000,1050,1056,994,56
33,6,2012-01-28T00:00:00,1226,,[Jigglypuff],[],1000,1000,1050,950,50
34,6,2012-01-28T00:00:00,1040,,[],[],1000,1000,1050,950,50
35,6,2012-01-28T00:00:00,1120,1067,[],[],1000,1000,1050,950,50
36,7,2012-01-28T00:00:00,,,[],[],,,,,
37,7,2012-01-28T00:00:00,,,[],[],,,,,
38,7,2012-01-28T00:00:00,,,[],[],,,,,
39,7,2012-01-28T00:00:00,,,[],[],,,,,
40,7,2012-01-28T00:00:00,,,[],[],,,,,
41,7,2012-01-28T00:00:00,,,[],[],,,,,
42,7,2012-01-28T00:00:00,,,[],[],,,,,
43,7,2012-01-28T00:00:00,,,[],[],,,,,
44,7,2012-01-28T00:00:00,,,[],[],,,,,
45,7,2012-01-28T00:00:00,,,[],[],,,,,
46,7,2012-01-28T00:00:00,,,[],[],,,,,
47,7,2012-01-28T00:00:00,,,[],[],,,,,
48,7,2012-01-28T00:00:00,,,[],[],,,,,
49,7,2012-01-28T00:00:00,,,[],[],,,,,
50,7,2012-01-28T00:00:00,,,[],[],,,,,
51,7,2012-01-28T00:00:00,,,[],[],,,,,
52,7,2012-01-28T00:00:00,,,[],[],,,,,
53,7,2012-01-28T00:00:00,,,[],[],,,,,
54,7,2012-01-28T00:00:00,,,[],[],,,,,
55,7,2012-01-28T00:00:00,,,[],[],,,,,
56,7,2012-01-28T00:00:00,,,[],[],,,,,
57,7,2012-01-28T00:00:00,,,[],[],,,,,
58,7,2012-01-28T00:00:00,,,[],[],,,,,
59,7,2012-01-28T00:00:00,,,[],[],,,,,
60,7,2012-01-28T00:00:00,,,[],[],,,,,
61,7,2012-01-28T00:00:00,,,[],[],,,,,
62,13,2012-07-07T00:00:00,,,[],[],,,,,
63,13,2012-07-07T00:00:00,,,[],[],,,,,
64,13,2012-07-07T00:00:00,,,[],[],,,,,
65,13,2012-07-07T00:00:00,,,[],[],,,,,
66,13,2012-07-07T00:00:00,,,[],[],,,,,
67,13,2012-07-07T00:00:00,,,[],[],,,,,
68,13,2012-07-07T00:00:00,,,[],[],,,,,
69,13,2012-07-07T00:00:00,,,[],[],,,,,
70,13,2012-07-07T00:00:00,,,[],[],,,,,
71,13,2012-07-07T00:00:00,,,[],[],,,,,
72,13,2012-07-07T00:00:00,,,[],[],,,,,
73,13,2012-07-07T00:00:00,,,[],[],,,,,
74,13,2012-07-07T00:00:00,,,[],[],,,,,
75,13,2012-07-07T00:00:00,,,[],[],,,,,
76,13,2012-07-07T00:00:00,,,[],[],,,,,
77,13,2012-07-07T00:00:00,,,[],[],,,,,
78,13,2012-07-07T00:00:00,,,[],[],,,,,
79,13,2012-07-07T00:00:00,,,[],[],,,,,
80,13,2012-07-07T00:00:00,,,[],[],,,,,
81,13,2012-07-07T00:00:00,,,[],[],,,,,
82,15,2012-07-07T00:00:00,1071,1068,[],[],1292,1343,1348,1287,56
83,15,2012-07-07T00:00:00,1068,1112,[],[],1313,1125,1343,1095,30
84,15,2012-07-07T00:00:00,1068,1072,[],[],1274,1178,1313,1139,39
85,15,2012-07-07T00:00:00,1072,1312,[],[],1130,1112,1178,1064,48
86,15,2012-07-07T00:00:00,1068,1089,[],[],1235,1134,1274,1095,39
87,15,2012-07-07T00:00:00,1312,5699,[],[],1060,1078,1112,1026,52
88,15,2012-07-07T00:00:00,1089,1156,[],[],1087,1063,1134,1016,47
89,15,2012-07-07T00:00:00,1312,1064,[],[],1012,996,1060,948,48
90,15,2012-07-07T00:00:00,5699,1040,[],[],1022,1072,1078,1016,56
91,15,2012-07-07T00:00:00,1089,1158,[],[],1042,1001,1087,956,45
92,15,2012-07-07T00:00:00,1156,1041,[],[],1016,992,1063,945,47
93,15,2012-07-07T00:00:00,1064,1066,[],[],950,917,996,871,46
94,15,2012-07-07T00:00:00,1040,1063,[],[],1026,992,1072,946,46
95,15,2012-07-07T00:00:00,1158,1291,[],[],950,963,1001,912,51
96,15,2012-07-07T00:00:00,1041,1076,[],[],944,930,992,882,48
97,15,2012-07-07T00:00:00,1071,1112,[],[],1252,1165,1292,1125,40
98,15,2012-07-07T00:00:00,1112,1072,[],[],1106,1189,1165,1130,59
99,15,2012-07-07T00:00:00,1071,1068,[],[],1190,1297,1252,1235,62
100,15,2012-07-07T00:00:00,1112,1089,[],[],1050,1098,1106,1042,56
101,15,2012-07-07T00:00:00,1072,1156,[],[],1150,1055,1189,1016,39
102,15,2012-07-07T00:00:00,1071,1312,[],[],1152,1050,1190,1012,38
103,15,2012-07-07T00:00:00,1068,5699,[],[],1270,1049,1297,1022,27
104,15,2012-07-07T00:00:00,1112,1064,[],[],1000,1000,1050,950,50
105,15,2012-07-07T00:00:00,1089,1066,[],[],1060,955,1098,917,38
106,15,2012-07-07T00:00:00,1072,1040,[],[],1104,1072,1150,1026,46
107,15,2012-07-07T00:00:00,1156,1063,[],[],1000,1047,1055,992,55
108,15,2012-07-07T00:00:00,1071,1291,[],[],1115,1000,1152,963,37
109,15,2012-07-07T00:00:00,1312,1158,[],[],1000,1000,1050,950,50
110,15,2012-07-07T00:00:00,5699,1041,[],[],1000,993,1049,944,49
111,15,2012-07-07T00:00:00,1068,1076,[],[],1250,950,1270,930,20
112,19,2012-09-30T00:00:00,1069,1068,[Falco],[CaptainFalcon;Marth],1213,1368,1280,1301,67
113,19,2012-09-30T00:00:00,1068,1048,[CaptainFalcon],[Marth],1339,1149,1368,1120,29
114,19,2012-09-30T00:00:00,1068,1156,[CaptainFalcon],[Peach],1306,1153,1339,1120,33
115,19,2012-09-30T00:00:00,1156,1071,[Peach],[Falco],1075,1347,1153,1269,78
116,19,2012-09-30T00:00:00,1068,1112,[],[],1266,1182,1306,1142,40
117,19,2012-09-30T00:00:00,1071,1102,[Falco],[Jigglypuff],1321,1098,1347,1072,26
118,19,2012-09-30T00:00:00,1112,1072,[],[],1123,1204,1182,1145,59
119,19,2012-09-30T00:00:00,1071,1155,[],[],1293,1087,1321,1059,28
120,19,2012-09-30T00:00:00,1102,1049,[],[],1044,1077,1098,1023,54
121,19,2012-09-30T00:00:00,1072,1150,[],[],1172,1005,1204,973,32
122,19,2012-09-30T00:00:00,1112,1291,[],[],1081,1014,1123,972,42
123,19,2012-09-30T00:00:00,1155,1142,[],[],1037,1040,1087,990,50
124,19,2012-09-30T00:00:00,1049,1073,[],[],1030,1008,1077,961,47
125,19,2012-09-30T00:00:00,1072,5699,[],[],1127,1081,1172,1036,45
126,19,2012-09-30T00:00:00,1291,1089,[],[],943,1140,1014,1069,71
127,19,2012-09-30T00:00:00,1142,1090,[],[],1000,910,1040,870,40
128,19,2012-09-30T00:00:00,1155,1158,[],[],997,911,1037,871,40
129,19,2012-09-30T00:00:00,1049,1064,[],[],990,904,1030,864,40
130,19,2012-09-30T00:00:00,1073,1289,[],[],954,990,1008,936,54
131,19,2012-09-30T00:00:00,1072,1286,[],[],1097,908,1127,878,30
132,19,2012-09-30T00:00:00,5699,1041,[],[],1046,912,1081,877,35
133,19,2012-09-30T00:00:00,1291,1063,[],[],886,948,943,891,57
134,19,2012-09-30T00:00:00,1089,,[],[],1101,1000,1140,961,39
135,19,2012-09-30T00:00:00,1069,1048,[Falco],[Marth],1158,1204,1213,1149,55
136,19,2012-09-30T00:00:00,1069,1156,[Fox],[Peach],1105,1128,1158,1075,53
137,19,2012-09-30T00:00:00,1048,1068,[Marth],[Marth],1132,1338,1204,1266,72
138,19,2012-09-30T00:00:00,1069,1150,[Fox;Marth],[Peach],1055,1055,1105,1005,50
139,19,2012-09-30T00:00:00,1156,1112,[Peach],[Sheik],1070,1139,1128,1081,58
140,19,2012-09-30T00:00:00,1048,1071,[],[],1050,1375,1132,1293,82
141,19,2012-09-30T00:00:00,1068,1102,[],[],1314,1068,1338,1044,24
142,19,2012-09-30T00:00:00,1069,1049,[],[],1000,1045,1055,990,55
143,19,2012-09-30T00:00:00,1150,1289,[],[],1000,1045,1055,990,55
144,19,2012-09-30T00:00:00,1112,1142,[],[],1095,1044,1139,1000,44
145,19,2012-09-30T00:00:00,1156,1155,[Peach],[Fox],1016,1051,1070,997,54
146,19,2012-09-30T00:00:00,1048,1063,[],[],1000,998,1050,948,50
147,19,2012-09-30T00:00:00,1071,1089,[],[],1348,1128,1375,1101,27
148,19,2012-09-30T00:00:00,1102,1072,[],[],1000,1165,1068,1097,68
149,19,2012-09-30T00:00:00,1068,5699,[],[],1287,1073,1314,1046,27
150,19,2012-09-30T00:00:00,1049,1090,[],[],1000,955,1045,910,45
151,19,2012-09-30T00:00:00,1289,1158,[],[],1000,956,1045,911,45
152,19,2012-09-30T00:00:00,1142,1064,[],[],1000,948,1044,904,44
153,19,2012-09-30T00:00:00,1155,1073,[],[],1000,1005,1051,954,51
154,19,2012-09-30T00:00:00,1063,1286,[],[],946,960,998,908,52
155,19,2012-09-30T00:00:00,1089,1041,[],[],1095,945,1128,912,33
156,19,2012-09-30T00:00:00,1072,1291,[],[],1139,912,1165,886,26
157,19,2012-09-30T00:00:00,5699,,[],[],1026,1000,1073,953,47
158,20,2012-09-30T00:00:00,,,[],[],,,,,
159,20,2012-09-30T00:00:00,,,[],[],,,,,
160,20,2012-09-30T00:00:00,,,[],[],,,,,
161,20,2012-09-30T00:00:00,,,[],[],,,,,
162,20,2012-09-30T00:00:00,,,[],[],,,,,
163,20,2012-09-30T00:00:00,,,[],[],,,,,
164,20,2012-09-30T00:00:00,,,[],[],,,,,
165,20,2012-09-30T00:00:00,,,[],[],,,,,
166,20,2012-09-30T00:00:00,,,[],[],,,,,
167,20,2012-09-30T00:00:00,,,[],[],,,,,
168,20,2012-09-30T00:00:00,,,[],[],,,,,
169,20,2012-09-30T00:00:00,,,[],[],,,,,
170,20,2012-09-30T00:00:00,,,[],[],,,,,
171,20,2012-09-30T00:00:00,,,[],[],,,,,
172,20,2012-09-30T00:00:00,,,[],[],,,,,
173,20,2012-09-30T00:00:00,,,[],[],,,,,
174,20,2012-09-30T00:00:00,,,[],[],,,,,
175,20,2012-09-30T00:00:00,,,[],[],,,,,
176,20,2012-09-30T00:00:00,,,[],[],,,,,
177,20,2012-09-30T00:00:00,,,[],[],,,,,
178,20,2012-09-30T00:00:00,,,[],[],,,,,
179,20,2012-09-30T00:00:00,,,[],[],,,,,
180,20,2012-09-30T00:00:00,,,[],[],,,,,
181,20,2012-09-30T00:00:00,,,[],[],,,,,
182,20,2012-09-30T00:00:00,,,[],[],,,,,
183,20,2012-09-30T00:00:00,,,[],[],,,,,
184,20,2012-09-30T00:00:00,,,[],[],,,,,
185,20,2012-09-30T00:00:00,,,[],[],,,,,
186,20,2012-09-30T00:00:00,,,[],[],,,,,
187,20,2012-09-30T00:00:00,,,[],[],,,,,
188,20,2012-09-30T00:00:00,,,[],[],,,,,
189,20,2012-09-30T00:00:00,,,[],[],,,,,
190,20,2012-09-30T00:00:00,,,[],[],,,,,
191,20,2012-09-30T00:00:00,,,[],[],,,,,
192,20,2012-09-30T00:00:00,,,[],[],,,,,
193,20,2012-09-30T00:00:00,,,[],[],,,,,
194,20,2012-09-30T00:00:00,,,[],[],,,,,
195,20,2012-09-30T00:00:00,,,[],[],,,,,
196,26,2013-05-18T00:00:00,1069,1068,[Falco;Fox],[CaptainFalcon;Jigglypuff;Marth;Peach],1405,1349,1449,1305,44
197,26,2013-05-18T00:00:00,1069,1068,[Falco],[Marth],1349,1405,1405,1349,56
198,26,2013-05-18T00:00:00,1069,1072,[Falco],[Falco;Fox],1306,1249,1349,1206,43
199,26,2013-05-18T00:00:00,1072,1286,[],[],1215,1068,1249,1034,34
200,26,2013-05-18T00:00:00,1286,1070,[Luigi],[Falco;Marth;Peach],1007,1101,1068,1040,61
201,26,2013-05-18T00:00:00,1072,1291,[Fox],[CaptainFalcon],1176,1076,1215,1037,39
202,26,2013-05-18T00:00:00,1070,1064,[],[],1064,952,1101,915,37
203,26,2013-05-18T00:00:00,1291,1063,[],[],1033,972,1076,929,43
204,26,2013-05-18T00:00:00,1070,1288,[],[],1012,1027,1064,975,52
205,26,2013-05-18T00:00:00,1064,1040,[],[],885,1035,952,968,67
206,26,2013-05-18T00:00:00,1291,1049,[],[],980,1008,1033,955,53
207,26,2013-05-18T00:00:00,1063,1066,[],[Yoshi],923,915,972,866,49
208,26,2013-05-18T00:00:00,1288,1071,[],[],953,1183,1027,1109,74
209,26,2013-05-18T00:00:00,1064,1283,[],[],817,980,885,912,68
210,26,2013-05-18T00:00:00,1291,2007,[],[],925,966,980,911,55
211,26,2013-05-18T00:00:00,1066,1073,[Yoshi],[],858,917,915,860,57
212,26,2013-05-18T00:00:00,1068,1069,[Jigglypuff;Marth],[Falco;Fox],1355,1356,1405,1306,50
213,26,2013-05-18T00:00:00,1068,1286,[],[],1336,1026,1355,1007,19
214,26,2013-05-18T00:00:00,1069,1072,[Falco],[Fox;Marth],1318,1214,1356,1176,38
215,26,2013-05-18T00:00:00,1286,1049,[],[],964,1070,1026,1008,62
216,26,2013-05-18T00:00:00,1068,1063,[],[],1321,938,1336,923,15
217,26,2013-05-18T00:00:00,1072,1070,[],[],1179,1047,1214,1012,35
218,26,2013-05-18T00:00:00,1069,1040,[],[],1293,1060,1318,1035,25
219,26,2013-05-18T00:00:00,1049,1288,[],[],1023,1000,1070,953,47
220,26,2013-05-18T00:00:00,1286,1071,[],[],878,1269,964,1183,86
221,26,2013-05-18T00:00:00,1063,1064,[],[],891,864,938,817,47
222,26,2013-05-18T00:00:00,1068,1283,[],[],1301,1000,1321,980,20
223,26,2013-05-18T00:00:00,1070,1291,[],[],1000,972,1047,925,47
224,26,2013-05-18T00:00:00,1072,2007,[],[],1145,1000,1179,966,34
225,26,2013-05-18T00:00:00,1040,1073,[],[],1016,961,1060,917,44
226,26,2013-05-18T00:00:00,1069,1066,[],[Yoshi],1280,871,1293,858,13
227,27,2013-05-18T00:00:00,,,[],[],,,,,
228,27,2013-05-18T00:00:00,,,[],[],,,,,
229,27,2013-05-18T00:00:00,,,[],[],,,,,
230,27,2013-05-18T00:00:00,,,[],[],,,,,
231,27,2013-05-18T00:00:00,,,[],[],,,,,
232,27,2013-05-18T00:00:00,,,[],[],,,,,
233,27,2013-05-18T00:00:00,,,[],[],,,,,
234,27,2013-05-18T00:00:00,,,[],[],,,,,
235,27,2013-05-18T00:00:00,,,[],[],,,,,
236,27,2013-05-18T00:00:00,,,[],[],,,,,
237,27,2013-05-18T00:00:00,,,[],[],,,,,
238,27,2013-05-18T00:00:00,,,[],[],,,,,
239,27,2013-05-18T00:00:00,,,[],[],,,,,
240,27,2013-05-18T00:00:00,,,[],[],,,,,
241,27,2013-05-18T00:00:00,,,[],[],,,,,
242,27,2013-05-18T00:00:00,,,[],[],,,,,
243,27,2013-05-18T00:00:00,,,[],[],,,,,
244,27,2013-05-18T00:00:00,,,[],[],,,,,
245,31,2013-05-18T00:00:00,,1090,[],[],1000,870,1035,835,35
246,34,2013-06-30T00:00:00,1068,1071,[],[],1383,1215,1415,1183,32
247,34,2013-06-30T00:00:00,1071,1155,[],[],1158,1219,1215,1162,57
248,34,2013-06-30T00:00:00,1155,1978,[],[],1175,1123,1219,1079,44
249,34,2013-06-30T00:00:00,1978,1040,[],[],1073,1071,1123,1021,50
250,34,2013-06-30T00:00:00,1155,1072,[],[],1112,1226,1175,1163,63
251,34,2013-06-30T00:00:00,1040,1066,[],[],1027,976,1071,932,44
252,34,2013-06-30T00:00:00,1072,1286,[],[],1190,1068,1226,1032,36
253,34,2013-06-30T00:00:00,1040,1288,[],[],985,918,1027,876,42
254,34,2013-06-30T00:00:00,1066,1358,[],[],916,1003,976,943,60
255,34,2013-06-30T00:00:00,1286,1283,[],[],1029,935,1068,896,39
256,34,2013-06-30T00:00:00,1072,1282,[],[],1164,935,1190,909,26
257,34,2013-06-30T00:00:00,1358,13911,[],[],950,972,1003,919,53
258,34,2013-06-30T00:00:00,1286,,[],[],976,1000,1029,947,53
259,34,2013-06-30T00:00:00,1068,1071,[],[],1351,1190,1383,1158,32
260,34,2013-06-30T00:00:00,1071,1978,[],[],1143,1120,1190,1073,47
261,34,2013-06-30T00:00:00,1068,1155,[],[],1320,1143,1351,1112,31
262,34,2013-06-30T00:00:00,1071,1283,[],[],1109,969,1143,935,34
263,34,2013-06-30T00:00:00,1978,1072,[],[],1050,1234,1120,1164,70
264,34,2013-06-30T00:00:00,1155,1040,[],[],1102,1026,1143,985,41
265,34,2013-06-30T00:00:00,1068,1066,[],[],1305,931,1320,916,15
266,34,2013-06-30T00:00:00,1283,1288,[],[],912,975,969,918,57
