ID,name,region
1623,Spud,WA
1541,Sora,NSW
1329,Rainbow,NSW
1220,Nick,SA
1069,S.D,VIC
8138,Davox,SA
1240,Kami,QLD
1093,Tristan,QLD
1267,Quetz,WA
1048,Syke,QLD
1332,MC,NSW
11750,Sock,NSW
1268,Karu,WA
1616,MojoMonkey,NZ
1049,smopup,QLD
1290,DonB,VIC
8059,Mercury,QLD
2241,Aluf,NZ
18082,Jojo,VIC
2226,Fess,VIC
2543,Currypuffs,NZ
9561,Skeleduck,VIC
1051,AussieRob,QLD
1223,Muscat,SA
16090,CowboyTrickshot,VIC
1222,Kaiza,SA
1245,Cunchy,NSW
1068,Dekar,VIC
5315,Cookbook,NZ
8510,Prolific,VIC
2624,Auro,QLD
4917,Brad,QLD
1571,Nangs,SA
5863,Scared,NSW
1180,Joe,ACT
3631,Sundowns,WA
1207,Russell,QLD
4925,Skip,VIC
3133,Microsoft J,VIC
1236,Wibbles,ACT
1193,Niko,QLD
13986,Girku,NZ
1155,Atticus,VIC
2542,Wontonz,NZ
2607,Ryzuul,VIC
1617,Toash,NZ
1285,Moxie,VIC
1083,Tranq,QLD
15211,melodiic,VIC
6946,C$,VIC
1978,RedX,VIC
2436,Mikel,WA
1331,RCJay,NSW
3752,Elka,WA
1112,Zxv,ACT
11758,Saxx,NZ
1072,Toshiba,VIC
5369,Dog,NZ
16966,Hori,NZ
8085,Jarcino,NZ
1704,KIC,WA
1047,JBirds,QLD
2404,Thriles,QLD
1113,Scabe,ACT
1771,Cailan,VIC
2126,Little Hungry,WA
5482,Zhye,VIC
17621,West,VIC
1071,Redact,VIC
15011,Caesar,VIC
1553,Scraddles,SA
1221,Flow Rats,SA
5681,SharpyNZ,NZ
4903,PauleyB,NZ
2007,Cal,NSW
15344,McCloud,SA
1102,Tedeth,NSW
2127,Ando,NSW
2437,Niven,WA
1469,Uber,QLD
2287,Ace,WA
1632,Entice,QLD
1357,Azri,VIC
1369,Tyler,VIC
1040,Splice,VIC
5774,Mylo,SA
5491,Spence,NSW
2439,Dank,WA
1998,YaMumNz,NZ
1291,Skeletom,VIC
1779,Hoppalot22,VIC
5474,Din,VIC
1550,Katherine,SA
5755,eli,NZ
13911,Hughie,VIC
2683,Mustella,QLD
5699,Haikal,QLD
1215,Vlade,WA
1536,Qx,NSW
17991,Goodie,VIC
15310,coyboy,NSW
5327,Mikkle,NSW
1850,Raphiki,VIC
2117,Crunkle,NZ
1156,CAOTIC,NSW
1287,Noxus,VIC
13976,Emps,VIC
1694,Boonsong,QLD
8114,RhuMy,NZ
2432,Paranoid,NSW
1251,Miguel,WA
15079,MULE,NZ
5091,AbysmalAngel,NZ
8141,Stormchicken,VIC
15013,George Ohwell,VIC
7996,Birdperson,VIC
15087,Jisp,NSW
2359,H1ppo,VIC
2718,Duck,VIC
5378,Coup,TAS
1129,Ace S.A.,SA
2625,Booerns,QLD
13855,Vic Machine Broke,VIC
1130,Oli,SA
1176,Seb,ACT
1762,Yoyo,TAS
1097,Mytus,ACT
1853,Saucy,VIC
5055,OB,NSW
1085,Sebby,VIC
1289,Pretty Cool Guy,VIC
4788,XP2000,QLD
3118,Rek,ACT
2688,YOUNG,WA
5802,Goon,NSW
1160,Blackshadow,SA
1803,Dz,NZ
1250,JKTS,VIC
5379,Luma,WA
1256,Chappos,WA
1189,Gareth,QLD
1542,Jnuts,NSW
1312,Samuel L. Blaxon,VIC
1628,Polaroid,WA
3650,Soup,ACT
1774,Carbon,VIC
2901,Muso,NSW
16031,Supercat Meow,VIC
1078,Sloth,QLD
1458,Edit,VIC
11778,Mungo,QLD
5476,Wings,VIC
2129,Gabe,NSW
1488,Fady,QLD
1214,Corpsecreate,VIC
18311,Postman Pat,VIC
5907,Adam,VIC
1079,Radiance,ACT
1148,Zorsy,NSW
1494,Exor,WA
1283,Hardpelicn,VIC
8087,Jej,NZ
1286,Joeyjoeyjoejoe,VIC
5899,Papermoon,NSW
13978,FunnySunTADM,VIC
19830,Mealmix,VIC
1622,SpeedyJ,NZ
3283,Unladen,NZ
1442,Torpy,VIC
1150,Scrubs,QLD
6999,Lame,QLD
1643,Frenchie,NZ
3954,Ryshy,NSW
2110,Phez,NSW
1388,Darkfire,QLD
2335,Bruh,QLD
15470,az,NSW
17992,Youla,VIC
2691,Campbell,VIC
1891,Akolyte,NZ
9448,shineboyfresh,VIC
8053,LKH,NSW
